Recipe_Id,Nutrient,Values
34,Protein,2.6 g
34,Carbohydrates,30.5 g
34,Fiber,2.5 g
34,Fat,8 g
34,Cholesterol,0 mg
34,Sodium,5.5 mg
35,Energy,54 cal
35,Protein,3.1 g
35,Carbohydrates,7.9 g
35,Fiber,2 g
35,Fat,1.2 g
35,Cholesterol,0 mg
35,Sodium,3.5 mg
36,Energy,130 cal
36,Protein,4.1 g
36,Carbohydrates,13.6 g
36,Fiber,6 g
36,Fat,6.6 g
36,Cholesterol,1.4 mg
36,Sodium,71.6 mg
38,Energy,88 cal
38,Protein,2.9 g
38,Carbohydrates,11.5 g
38,Fiber,2.3 g
38,Fat,3.7 g
38,Cholesterol,0 mg
38,Sodium,5.9 mg
39,Energy,218 cal
39,Protein,2.9 g
39,Carbohydrates,48.2 g
39,Fiber,8.3 g
39,Fat,1.4 g
39,Cholesterol,0 mg
39,Sodium,68 mg
41,Energy,190 cal
41,Protein,3.7 g
41,Carbohydrates,2.6 g
41,Fiber,1.2 g
41,Fat,18.4 g
41,Cholesterol,0 mg
41,Sodium,251 mg
43,Energy,227 cal
43,Protein,5.5 g
43,Carbohydrates,25.5 g
43,Fiber,1 g
43,Fat,9.7 g
43,Cholesterol,12 mg
43,Sodium,31.6 mg
44,Energy,388 cal
44,Protein,8.6 g
44,Carbohydrates,18.1 g
44,Fiber,2.8 g
44,Fat,32.3 g
44,Cholesterol,0 mg
44,Sodium,4.2 mg
45,Energy,169 cal
45,Protein,3.5 g
45,Carbohydrates,1.8 g
45,Fiber,2 g
45,Fat,16.5 g
45,Cholesterol,0 mg
45,Sodium,0 mg
46,Energy,266 cal
46,Protein,5.2 g
46,Carbohydrates,8.1 g
46,Fiber,2.3 g
46,Fat,23.7 g
46,Cholesterol,0 mg
46,Vitamin A,157 mcg
46,Vitamin B1,0.1 mg
46,Vitamin B2,0.1 mg
46,Vitamin B3,0.8 mg
46,Vitamin C,9.3 mg
46,Folic Acid,8.3 mcg
46,Calcium,60.2 mg
46,Iron,1.3 mg
46,Magnesium,0 mg
46,Phosphorus,0 mg
46,Sodium,2.6 mg
46,Potassium,70 mg
46,Zinc,0.7 mg
47,Energy,127 cal
47,Protein,3.6 g
47,Carbohydrates,15.1 g
47,Fiber,0.6 g
47,Fat,6.2 g
47,Cholesterol,0 mg
47,Sodium,1.4 mg
48,Energy,78 cal
48,Protein,1.5 g
48,Carbohydrates,8.7 g
48,Fiber,0.1 g
48,Fat,4 g
48,Cholesterol,0 mg
48,Vitamin A,102.3 mcg
48,Vitamin B1,0 mg
48,Vitamin B2,0 mg
48,Vitamin B3,0.3 mg
48,Vitamin C,0 mg
48,Folic Acid,0.2 mcg
48,Calcium,12.8 mg
48,Iron,0.3 mg
48,Magnesium,0 mg
48,Phosphorus,0 mg
48,Sodium,26 mg
48,Potassium,13.4 mg
48,Zinc,0.1 mg
49,Energy,103 cal
49,Protein,2.1 g
49,Carbohydrates,10.4 g
49,Fiber,0.1 g
49,Fat,5.8 g
49,Cholesterol,7.9 mg
49,Sodium,26 mg
50,Energy,95 cal
50,Protein,3.1 g
50,Carbohydrates,2.3 g
50,Fiber,1.2 g
50,Fat,8.4 g
50,Cholesterol,0 mg
50,Sodium,251 mg
51,Energy,381 cal
51,Protein,5.3 g
51,Carbohydrates,17.2 g
51,Fiber,1.9 g
51,Fat,32.7 g
51,Cholesterol,65 mg
51,Sodium,292.6 mg
52,Energy,342 cal
52,Protein,6.2 g
52,Carbohydrates,49.6 g
52,Fiber,8 g
52,Fat,13.9 g
52,Cholesterol,0 mg
52,Sodium,165.2 mg
53,Energy,102 cal
53,Protein,4.4 g
53,Carbohydrates,2.9 g
53,Fiber,1.3 g
53,Fat,8.3 g
53,Cholesterol,0 mg
53,Sodium,1.3 mg
54,Energy,146 cal
54,Protein,4.2 g
54,Carbohydrates,6.2 g
54,Fiber,0.3 g
54,Fat,11.8 g
