,id,name,hind_name,wikipedia_links
928,34064,Vanilla Agar-Agar , ,https://en.wikipedia.org/wiki/Vanilla agar-agar 
929,34233,Pine Nuts , ,https://en.wikipedia.org/wiki/Pine nuts 
930,34349,Laadi Pavs , ,https://en.wikipedia.org/wiki/Laadi pavs 
931,34474,Jal Jeera , ,https://en.wikipedia.org/wiki/Jal jeera 
932,34489,Fruit Jam , ,https://en.wikipedia.org/wiki/Fruit jam 
933,34517,Jamuns , ,https://en.wikipedia.org/wiki/Jamuns 
934,34617,Crystals , ,https://en.wikipedia.org/wiki/Crystals 
935,34764,Cow’S Milk , ,https://en.wikipedia.org/wiki/Cow’s milk 
936,34776,Coriander-Cumin Seed ,Dhania-Jeera,https://en.wikipedia.org/wiki/Coriander-cumin seed 
937,34809,Jowar Puffs ,Dhani,https://en.wikipedia.org/wiki/Jowar puffs 
938,34818,Chana , ,https://en.wikipedia.org/wiki/Chana 
939,34988,Isabgol , ,https://en.wikipedia.org/wiki/Isabgol 
940,35007,Savoy Cabbage , ,https://en.wikipedia.org/wiki/Savoy cabbage 
941,35008,Capsicum ,,https://en.wikipedia.org/wiki/Capsicum 
942,35281,Kadhai , ,https://en.wikipedia.org/wiki/Kadhai 
943,35424,Ginger Garlic , ,https://en.wikipedia.org/wiki/Ginger garlic 
944,35456,Tomato Purée , ,https://en.wikipedia.org/wiki/Tomato purée 
945,35487,Kaffir Lime , ,https://en.wikipedia.org/wiki/Kaffir lime 
946,35676,Gulab Jamun Mawa ,Hariyali Khoya,https://en.wikipedia.org/wiki/Gulab jamun mawa 
947,35801,Kolumbu , ,https://en.wikipedia.org/wiki/Kolumbu 
948,35839,Kand , ,https://en.wikipedia.org/wiki/Kand 
949,36020,Tutti Frutti , ,https://en.wikipedia.org/wiki/Tutti frutti 
950,36254,Kashmiri Tea , ,https://en.wikipedia.org/wiki/Kashmiri tea 
951,36322,Puranpoli , ,https://en.wikipedia.org/wiki/Puranpoli 
952,36414,Ker , ,https://en.wikipedia.org/wiki/Ker 
953,36430,Sangri ,Sanger,https://en.wikipedia.org/wiki/Sangri 
954,36497,Sandalwood ,Chandan,https://en.wikipedia.org/wiki/Sandalwood 
955,36563,Saffron Food , ,https://en.wikipedia.org/wiki/Saffron food 
956,36727,Khaman Dhokla , ,https://en.wikipedia.org/wiki/Khaman dhokla 
957,36909,Gluten , ,https://en.wikipedia.org/wiki/Gluten 
958,36910,Lily Puff Margarine , ,https://en.wikipedia.org/wiki/Lily puff margarine 
959,36947,Dhokla , ,https://en.wikipedia.org/wiki/Dhokla 
960,36981,Khatta Dhokla Flour , ,https://en.wikipedia.org/wiki/Khatta dhokla flour 
961,37009,Sorrel ,Khatta Bhaji ,https://en.wikipedia.org/wiki/Sorrel 
962,37036,Khatti-Meethi Chutney , ,https://en.wikipedia.org/wiki/Khatti-meethi chutney 
963,37124,Valor Papdi , ,https://en.wikipedia.org/wiki/Valor papdi 
964,37169,Leftover Khichdi , ,https://en.wikipedia.org/wiki/Leftover khichdi 
965,37194,Khichiya Papad , ,https://en.wikipedia.org/wiki/Khichiya papad 
966,37493,Kit-Kat Chocolate , ,https://en.wikipedia.org/wiki/Kit-kat chocolate 
967,37497,Kit-Kat Chocolates , ,https://en.wikipedia.org/wiki/Kit-kat chocolates 
968,37499,Kit-Kat , ,https://en.wikipedia.org/wiki/Kit-kat 
969,37509,Chocolate Walnut Brownie , ,https://en.wikipedia.org/wiki/Chocolate walnut brownie 
970,37513,Cream Wafer Biscuits , ,https://en.wikipedia.org/wiki/Cream wafer biscuits 
971,37523,Kiwis , ,https://en.wikipedia.org/wiki/Kiwis 
972,37524,Cheesecake , ,https://en.wikipedia.org/wiki/Cheesecake 
973,37553,Glycerin , ,https://en.wikipedia.org/wiki/Glycerin 
974,37600,Semi Kokum , ,https://en.wikipedia.org/wiki/Semi kokum 
975,37687,Silver Foil , ,https://en.wikipedia.org/wiki/Silver foil 
976,37701,Pink , ,https://en.wikipedia.org/wiki/Pink 
977,37817,Cashewnuts Drained. , ,https://en.wikipedia.org/wiki/Cashewnuts drained. 
978,37844,Malai Kulfi , ,https://en.wikipedia.org/wiki/Malai kulfi 
979,37846,Jalebis , ,https://en.wikipedia.org/wiki/Jalebis 
980,37859,Horse Gram ,Kulith ,https://en.wikipedia.org/wiki/Horse gram 
981,37940,Rounds Vegetables , ,https://en.wikipedia.org/wiki/Rounds vegetables 
982,38148,Raita , ,https://en.wikipedia.org/wiki/Raita 
983,38289,Lasagne , ,https://en.wikipedia.org/wiki/Lasagne 
984,38304,Baileys Irish Cream , ,https://en.wikipedia.org/wiki/Baileys irish cream 
985,38305,Amaretto , ,https://en.wikipedia.org/wiki/Amaretto 
986,38471,Chocolate Cream Wafer Biscuit , ,https://en.wikipedia.org/wiki/Chocolate cream wafer biscuit 
987,38474,Chocolate Cream Wafer Biscuits , ,https://en.wikipedia.org/wiki/Chocolate cream wafer biscuits 
988,38514,Coconut Biscuits , ,https://en.wikipedia.org/wiki/Coconut biscuits 
989,38728,Pineapple Tidbits , ,https://en.wikipedia.org/wiki/Pineapple tidbits 
990,38739,Oranges , ,https://en.wikipedia.org/wiki/Oranges 
991,38784,Pickled Jalapenos , ,https://en.wikipedia.org/wiki/Pickled jalapenos 
992,38786,Bean Spinach Rice , ,https://en.wikipedia.org/wiki/Bean spinach rice 
993,38787,Falafel , ,https://en.wikipedia.org/wiki/Falafel 
994,38928,Lemon Crystals , ,https://en.wikipedia.org/wiki/Lemon crystals 
995,38971,Cheese Cake , ,https://en.wikipedia.org/wiki/Cheese cake 
996,38984,Lemon Zest , ,https://en.wikipedia.org/wiki/Lemon zest 
997,39019,Couscous , ,https://en.wikipedia.org/wiki/Couscous 
998,39118,Carrot Julienned , ,https://en.wikipedia.org/wiki/Carrot julienned 
999,39132,Bottles Lemonade , ,https://en.wikipedia.org/wiki/Bottles lemonade 
1000,39152,Emon Grass ,Hare Chai Ki Patti,https://en.wikipedia.org/wiki/Emon grass 
1001,39267,Eggs Yolks , ,https://en.wikipedia.org/wiki/Eggs yolks 
1002,39324,Lemon Tang , ,https://en.wikipedia.org/wiki/Lemon tang 
1003,39442,Muskmelon Purée ,Kharbooja,https://en.wikipedia.org/wiki/Muskmelon purée 
1004,39525,Plum Sauce , ,https://en.wikipedia.org/wiki/Plum sauce 
1005,39529,Garlic Sauce , ,https://en.wikipedia.org/wiki/Garlic sauce 
1006,39534,Onions The , ,https://en.wikipedia.org/wiki/Onions the 
1007,39684,Surti Vaal , ,https://en.wikipedia.org/wiki/Surti vaal 
1008,40092,Lychee , ,https://en.wikipedia.org/wiki/Lychee 
1009,40118,Rasgulla Squares , ,https://en.wikipedia.org/wiki/Rasgulla squares 
1010,40120,Rabdi Cream , ,https://en.wikipedia.org/wiki/Rabdi cream 
1011,40145,Butter Naan , ,https://en.wikipedia.org/wiki/Butter naan 
1012,40294,Angelica , ,https://en.wikipedia.org/wiki/Angelica 
1013,40410,Moong Dal Vadi , ,https://en.wikipedia.org/wiki/Moong dal vadi 
1014,40477,Ginger–Green Chilli , ,https://en.wikipedia.org/wiki/Ginger–green chilli 
1015,40603,Garlic-Tomato Chutney , ,https://en.wikipedia.org/wiki/Garlic-tomato chutney 
1016,40717,Corncobs , ,https://en.wikipedia.org/wiki/Corncobs 
1017,40741,Corncobs Mm ,,https://en.wikipedia.org/wiki/Corncobs mm 
1018,40794,Corn Kernel , ,https://en.wikipedia.org/wiki/Corn kernel 
1019,40956,Spinach Rotis ,Palak,https://en.wikipedia.org/wiki/Spinach rotis 
1020,40957,Pahadi Marinade , ,https://en.wikipedia.org/wiki/Pahadi marinade 
1021,40997,Piece Cinnamon ,,https://en.wikipedia.org/wiki/Piece cinnamon 
1022,41041,Alum ,Phitkari,https://en.wikipedia.org/wiki/Alum 
1023,41253,Flat Noodles , ,https://en.wikipedia.org/wiki/Flat noodles 
1024,41628,Mango Purée , ,https://en.wikipedia.org/wiki/Mango purée 
1025,41660,Mango Ice-Cream , ,https://en.wikipedia.org/wiki/Mango ice-cream 
1026,41674,Crystallized Ginger , ,https://en.wikipedia.org/wiki/Crystallized ginger 
1027,41687,Mango Pureed , ,https://en.wikipedia.org/wiki/Mango pureed 
1028,41875,Mango Cake , ,https://en.wikipedia.org/wiki/Mango cake 
1029,41896,Moong Dal Mangodi , ,https://en.wikipedia.org/wiki/Moong dal mangodi 
1030,41914,Tequila , ,https://en.wikipedia.org/wiki/Tequila 
1031,41915,Cointreau , ,https://en.wikipedia.org/wiki/Cointreau 
1032,41918,Table Salt , ,https://en.wikipedia.org/wiki/Table salt 
1033,42015,Dal , ,https://en.wikipedia.org/wiki/Dal 
1034,42192,Chai Masala , ,https://en.wikipedia.org/wiki/Chai masala 
1035,42276,Coke , ,https://en.wikipedia.org/wiki/Coke 
1036,42420,Khichiya Papads , ,https://en.wikipedia.org/wiki/Khichiya papads 
1037,42525,Radish Pods ,Mogri,https://en.wikipedia.org/wiki/Radish pods 
1038,42715,Chunda , ,https://en.wikipedia.org/wiki/Chunda 
1039,42719,Tendlis , ,https://en.wikipedia.org/wiki/Tendlis 
1040,43435,Garlic Clove , ,https://en.wikipedia.org/wiki/Garlic clove 
1041,43519,Mawa Peda , ,https://en.wikipedia.org/wiki/Mawa peda 
1042,43657,Medu Vadas , ,https://en.wikipedia.org/wiki/Medu vadas 
1043,43717,Betel ,Paan,https://en.wikipedia.org/wiki/Betel 
1044,43719,Paan Katha , ,https://en.wikipedia.org/wiki/Paan katha 
1045,43720,Paan Chutney , ,https://en.wikipedia.org/wiki/Paan chutney 
1046,43723,Dhana Dal , ,https://en.wikipedia.org/wiki/Dhana dal 
1047,43805,Honeydew Melon , ,https://en.wikipedia.org/wiki/Honeydew melon 
1048,43813,Papaya Scoops , ,https://en.wikipedia.org/wiki/Papaya scoops 
1049,43815,Watermelon Scoops ,Tarbuj,https://en.wikipedia.org/wiki/Watermelon scoops 
1050,43854,Cherries Stem , ,https://en.wikipedia.org/wiki/Cherries stem 
1051,44488,Black-Eyed Beans ,Chawli,https://en.wikipedia.org/wiki/Black-eyed beans 
1052,44590,Wheat Bhakris , ,https://en.wikipedia.org/wiki/Wheat bhakris 
