id,name,hind_name,wikipedia_links
99,Vinegar ,,https://en.wikipedia.org/wiki/Vinegar 
100,Mayonnaise ,,https://en.wikipedia.org/wiki/Mayonnaise 
101,Basil ,,https://en.wikipedia.org/wiki/Basil 
102,Lettuce ,,https://en.wikipedia.org/wiki/Lettuce 
103,Cress ,,https://en.wikipedia.org/wiki/Cress 
104,Orange ,,https://en.wikipedia.org/wiki/Orange 
105,Pineapple ,,https://en.wikipedia.org/wiki/Pineapple 
106,Lemonade ,,https://en.wikipedia.org/wiki/Lemonade 
107,Drumsticks ,,https://en.wikipedia.org/wiki/Drumsticks 
108,Baby Corn ,,https://en.wikipedia.org/wiki/Baby corn 
109,Yam ,Suran,https://en.wikipedia.org/wiki/Yam 
110,Almond Bread ,,https://en.wikipedia.org/wiki/Almond bread 
111,Avocado ,,https://en.wikipedia.org/wiki/Avocado 
112,Apples ,,https://en.wikipedia.org/wiki/Apples 
113,Orange Marmalade ,,https://en.wikipedia.org/wiki/Orange marmalade 
114,Biscuit ,,https://en.wikipedia.org/wiki/Biscuit 
115,Bananas ,,https://en.wikipedia.org/wiki/Bananas 
116,Vanilla ,,https://en.wikipedia.org/wiki/Vanilla 
117,Honey ,,https://en.wikipedia.org/wiki/Honey 
118,Vanilla Extract ,,https://en.wikipedia.org/wiki/Vanilla extract 
119,Pumpkin ,,https://en.wikipedia.org/wiki/Pumpkin 
120,Sunflower ,Surajmukhi Ke Beej,https://en.wikipedia.org/wiki/Sunflower 
121,Almond ,Badam,https://en.wikipedia.org/wiki/Almond 
122,Blueberries ,,https://en.wikipedia.org/wiki/Blueberries 
123,Bayleaf ,Tejpatta,https://en.wikipedia.org/wiki/Bayleaf 
124,Beans ,,https://en.wikipedia.org/wiki/Beans 
125,Biryani Masala ,, 
126,Cocoa ,,https://en.wikipedia.org/wiki/Cocoa 
127,Baking ,,https://en.wikipedia.org/wiki/Baking 
128,Castor Sugar ,,https://en.wikipedia.org/wiki/Castor sugar 
129,Eggs ,,https://en.wikipedia.org/wiki/Eggs 
130,Almond Milk ,,https://en.wikipedia.org/wiki/Almond milk 
131,Flaxseeds ,,https://en.wikipedia.org/wiki/Flaxseeds 
132,Apple Cider Vinegar ,,https://en.wikipedia.org/wiki/Apple cider vinegar 
133,Rolled Oats ,,https://en.wikipedia.org/wiki/Rolled oats 
134,Peanut Butter ,,https://en.wikipedia.org/wiki/Peanut butter 
135,Almond Butter Cookies ,, 
136,Flax ,Alsi,https://en.wikipedia.org/wiki/Flax 
