id,name,hind_name,wikipedia_links
469,Scraper ,,https://en.wikipedia.org/wiki/Scraper 
470,Cutter ,,https://en.wikipedia.org/wiki/Cutter 
471,Papdi ,,https://en.wikipedia.org/wiki/Papdi 
472,Granules ,,https://en.wikipedia.org/wiki/Granules 
473,Cheese Spread ,,https://en.wikipedia.org/wiki/Cheese spread 
474,Sprinkles ,,https://en.wikipedia.org/wiki/Sprinkles 
475,Cream Corn ,,https://en.wikipedia.org/wiki/Cream corn 
476,Bok Choy ,,https://en.wikipedia.org/wiki/Bok choy 
477,Bean Sauce ,,https://en.wikipedia.org/wiki/Bean sauce 
478,Tamarind Water ,Imli, 
479,Radishes ,,https://en.wikipedia.org/wiki/Radishes 
480,Chopping Board ,,https://en.wikipedia.org/wiki/Chopping board 
481,Carving Knife ,,https://en.wikipedia.org/wiki/Carving knife 
482,Satay ,,https://en.wikipedia.org/wiki/Satay 
483,Toothpicks ,,https://en.wikipedia.org/wiki/Toothpicks 
484,Spice ,,https://en.wikipedia.org/wiki/Spice 
485,Egg Yolk ,,https://en.wikipedia.org/wiki/Egg yolk 
486,Garlic Toast ,,https://en.wikipedia.org/wiki/Garlic toast 
487,Chinese Sauce ,, 
488,Pear ,,https://en.wikipedia.org/wiki/Pear 
489,Water Chestnuts ,,https://en.wikipedia.org/wiki/Water chestnuts 
490,Dill Potatoes Carrots ,, 
491,Crepes ,,https://en.wikipedia.org/wiki/Crepes 
492,Mexican Sauce ,, 
493,Puréed Broccoli ,, 
494,Chinese Spice ,, 
495,Lemon Grass ,Hare Chai Ki Patti,https://en.wikipedia.org/wiki/Lemon grass 
496,Vegetarian Seasoning ,, 
497,Wheat Tortillas ,, 
498,Dhan Saak Dal ,, 
499,Brownie ,,https://en.wikipedia.org/wiki/Brownie 
500,Peach ,,https://en.wikipedia.org/wiki/Peach 
501,Brownies ,,https://en.wikipedia.org/wiki/Brownies 
502,Pickwick Biscuits ,, 
503,Brussels ,,https://en.wikipedia.org/wiki/Brussels 
504,Buckwheat ,Kuttu Or Kutti No Daro,https://en.wikipedia.org/wiki/Buckwheat 
505,Arrowroot Flour ,Paniphal, 
506,Sour Curds ,Khatta Dahi, 
507,Minty Chutney ,, 
508,Buckwheat Groats ,Kuttu Or Kutti No Daro,https://en.wikipedia.org/wiki/Buckwheat groats 
509,Peanut Kadhi ,, 
510,Mint Onion Chutney ,, 
511,Karela Kadhi ,, 
512,Brown Bread Buns ,, 
513,Cucumbers ,,https://en.wikipedia.org/wiki/Cucumbers 
514,Rice Noodles ,,https://en.wikipedia.org/wiki/Rice noodles 
515,Field Beans ,Vaal Dal, 
516,Green-Chilli ,, 
517,Brown Chick Peas ,Kala Chana, 
518,Chinese Rice ,, 
519,Burrata Cheese ,, 
520,Tabasco ,,https://en.wikipedia.org/wiki/Tabasco 
521,Nutri Tortillas ,, 
522,Flour Tortillas ,,https://en.wikipedia.org/wiki/Flour tortillas 
523,Mexican Rice ,,https://en.wikipedia.org/wiki/Mexican rice 
524,Wheat Mexican Tortillas ,, 
525,Vaal ,,https://en.wikipedia.org/wiki/Vaal 
526,Buttermilk ,,https://en.wikipedia.org/wiki/Buttermilk 
527,Butterscotch Nuts ,, 
528,Khichadi ,,https://en.wikipedia.org/wiki/Khichadi 
529,Capsicums ,,https://en.wikipedia.org/wiki/Capsicums 
530,Jam Sauce ,, 
531,Bread Croutons ,, 
532,Low-Calorie Sauce ,, 
533,Sesame Oil ,Til,https://en.wikipedia.org/wiki/Sesame oil 
534,Idlis ,, 
535,Dosas ,,https://en.wikipedia.org/wiki/Dosas 
536,Caramel Sauce ,,https://en.wikipedia.org/wiki/Caramel sauce 
537,Gems ,,https://en.wikipedia.org/wiki/Gems 
538,Gelatine ,,https://en.wikipedia.org/wiki/Gelatine 
539,Maize ,,https://en.wikipedia.org/wiki/Maize 
540,Caramel Popcorn ,,https://en.wikipedia.org/wiki/Caramel popcorn 
541,Stuffed Olives ,, 
542,Dog Roll ,, 
543,Kesar Shrikhand ,, 
544,High Fibre Chutney ,, 
545,Honey Lemon ,, 
546,Crepés ,, 
547,Thousand Island ,, 
548,Cashew Nuts ,Kaju,https://en.wikipedia.org/wiki/Cashew nuts 
549,Malvani ,,https://en.wikipedia.org/wiki/Malvani 
550,Lotus ,,https://en.wikipedia.org/wiki/Lotus 
551,Candied ,,https://en.wikipedia.org/wiki/Candied 
552,Coffee Ice-Cream ,, 
553,Potato Wafers ,, 
554,Wheat Bhakri ,, 
555,Wheat Chapattis ,, 
556,Ginger- Chilli ,, 
557,Chana Chor Garam ,, 
558,Wheat Parathas ,, 
559,Leftover Chapattis ,, 
560,Corn Cobs ,,https://en.wikipedia.org/wiki/Corn cobs 
561,Leftover Wheat Rotis ,, 
562,Chawli ,,https://en.wikipedia.org/wiki/Chawli 
563,Wheat Germ ,,https://en.wikipedia.org/wiki/Wheat germ 
564,Chilli-Garlic Chutney ,, 
565,Chilli Thecha ,, 
566,Wheat Burger Buns ,, 
567,Bathua ,,https://en.wikipedia.org/wiki/Bathua 
568,Cochineal ,,https://en.wikipedia.org/wiki/Cochineal 
569,Chilli Garlic Sauce ,, 
570,Khari Biscuits ,, 
571,Cracker Biscuits ,,https://en.wikipedia.org/wiki/Cracker biscuits 
572,Vegetable Crudités ,, 
573,Little Mustard ,, 
574,Wine ,,https://en.wikipedia.org/wiki/Wine 
575,Herb Bread ,, 
576,Pav ,,https://en.wikipedia.org/wiki/Pav 
577,Brown ,,https://en.wikipedia.org/wiki/Brown 
578,Sandwich Masala ,, 
579,Kitchen King Masala ,, 
580,Cheddar Cheese ,,https://en.wikipedia.org/wiki/Cheddar cheese 
581,Ladi Pavs ,, 
582,Sukha Lehsun Chutney ,, 
583,Leek ,,https://en.wikipedia.org/wiki/Leek 
584,Cheeslings ,, 
585,Chipotle Sauce ,, 
586,Bourbon ,,https://en.wikipedia.org/wiki/Bourbon 
587,Orange Sauce ,,https://en.wikipedia.org/wiki/Orange sauce 
588,Pizza Bases ,, 
589,Pesto ,,https://en.wikipedia.org/wiki/Pesto 
590,Tarts ,,https://en.wikipedia.org/wiki/Tarts 
591,Maggi Noodles ,,https://en.wikipedia.org/wiki/Maggi noodles 
592,Maggi Noodles Masala ,, 
593,Schezwan Sauce ,,https://en.wikipedia.org/wiki/Schezwan sauce 
594,Wheat Pasta ,, 
595,Penne ,,https://en.wikipedia.org/wiki/Penne 
596,Melba Toast ,,https://en.wikipedia.org/wiki/Melba toast 
597,Chenna ,,https://en.wikipedia.org/wiki/Chenna 
598,Cashew Barfi ,, 
599,Raspberry Jam ,,https://en.wikipedia.org/wiki/Raspberry jam 
600,Nutritious Chutney ,, 
601,Salad Oil ,,https://en.wikipedia.org/wiki/Salad oil 
602,Beans Tomato ,, 
603,Chilli Garlic ,, 
604,Chilli Oil ,, 
605,Guacamole ,,https://en.wikipedia.org/wiki/Guacamole 
606,Schezuan Peppers ,Triphal, 
607,Hoisin Sauce ,,https://en.wikipedia.org/wiki/Hoisin sauce 
608,Khimchi ,, 
609,Pandi Chillies ,, 
610,Malagapdi ,, 
611,Malgapodi ,, 
612,Chocolate Ice-Cream ,, 
613,Chocolate Cakes ,, 
614,Chocolate Cream Biscuits ,, 
615,Milk Chocolate Mousse ,, 
616,Cellotape ,,https://en.wikipedia.org/wiki/Cellotape 
617,Margarine ,,https://en.wikipedia.org/wiki/Margarine 
618,Chocolate Butter Cream ,, 
619,Chocolate Vermicelli ,, 
620,Chocolate Truffle ,,https://en.wikipedia.org/wiki/Chocolate truffle 
621,Chocolate Chip Cookies ,,https://en.wikipedia.org/wiki/Chocolate chip cookies 
622,Silver ,,https://en.wikipedia.org/wiki/Silver 
623,Almond Butter ,,https://en.wikipedia.org/wiki/Almond butter 
624,Digestive ,,https://en.wikipedia.org/wiki/Digestive 
625,Amul Chocolate ,, 
626,Stars ,,https://en.wikipedia.org/wiki/Stars 
627,Choux Pastry ,,https://en.wikipedia.org/wiki/Choux pastry 
628,Oreo Cookies ,,https://en.wikipedia.org/wiki/Oreo cookies 
629,Sprig Mint ,, 
630,Hazelnut ,,https://en.wikipedia.org/wiki/Hazelnut 
631,Chocolate Bytes ,, 
632,Chocolate Ice Cream ,,https://en.wikipedia.org/wiki/Chocolate ice cream 
633,Chocolate Sauce ,,https://en.wikipedia.org/wiki/Chocolate sauce 
634,Kit Kat Chocolate ,, 
635,Chocolate Wafer Rolls ,, 
636,Food Colouring ,,https://en.wikipedia.org/wiki/Food colouring 
637,Marshmallows ,,https://en.wikipedia.org/wiki/Marshmallows 
638,Peppermint ,,https://en.wikipedia.org/wiki/Peppermint 
639,Almond Praline ,, 
640,Candied Orange ,, 
641,Puris ,,https://en.wikipedia.org/wiki/Puris 
642,Colourful Sprinkles ,, 
643,Milk Chocolate ,,https://en.wikipedia.org/wiki/Milk chocolate 
644,Glace Cherries ,,https://en.wikipedia.org/wiki/Glace cherries 
645,Colorful Sprinklers ,, 
646,Chocolate Coated Strawberries ,, 
647,Waffle Cones ,, 
648,Pastry Base ,, 
649,Walnut ,Akhrot,https://en.wikipedia.org/wiki/Walnut 
650,Cranberries ,,https://en.wikipedia.org/wiki/Cranberries 
651,Cow Peas ,Chola Dal,https://en.wikipedia.org/wiki/Cow peas 
652,Soda Water ,,https://en.wikipedia.org/wiki/Soda water 
653,Tea Bag ,,https://en.wikipedia.org/wiki/Tea bag 
654,Samosas ,,https://en.wikipedia.org/wiki/Samosas 
655,Bhaturas ,, 
656,Cumin Seed Crackers ,, 
657,Coarse Wheat Flour ,Jada Gehun Ka Atta, 
658,Bottle Lemonade ,, 
659,Feta ,,https://en.wikipedia.org/wiki/Feta 
660,Khus ,,https://en.wikipedia.org/wiki/Khus 
661,Kewra Water ,, 
662,Carbonated ,,https://en.wikipedia.org/wiki/Carbonated 
663,Lemon Drink ,, 
664,Sweetlime ,,https://en.wikipedia.org/wiki/Sweetlime 
665,Oranges ,,https://en.wikipedia.org/wiki/Oranges 
666,Limes ,,https://en.wikipedia.org/wiki/Limes 
667,Tobasco Sauce ,, 
668,Oyster Mushrooms ,,https://en.wikipedia.org/wiki/Oyster mushrooms 
669,Thai Ginger ,Galangal,https://en.wikipedia.org/wiki/Thai ginger 
670,Chilas ,,https://en.wikipedia.org/wiki/Chilas 
671,Coconut Water ,,https://en.wikipedia.org/wiki/Coconut water 
672,Coconut Flesh ,, 
673,Coconut Biscuit ,, 
674,Coconu ,, 
675,Falooda ,Subza,https://en.wikipedia.org/wiki/Falooda 
676,Kiwi ,,https://en.wikipedia.org/wiki/Kiwi 
677,Coconut Flour ,, 
678,Flaxseed ,,https://en.wikipedia.org/wiki/Flaxseed 
679,Kewra ,,https://en.wikipedia.org/wiki/Kewra 
680,Chocolate Cream ,, 
681,Vanilla Glace ,, 
682,Rose ,,https://en.wikipedia.org/wiki/Rose 
683,Dessert Apple ,,https://en.wikipedia.org/wiki/Dessert apple 
684,Coconut Cream ,,https://en.wikipedia.org/wiki/Coconut cream 
685,Appam ,,https://en.wikipedia.org/wiki/Appam 
686,Vanilla Ice- Cream ,, 
687,Coca-Cola ,,https://en.wikipedia.org/wiki/Coca-cola 
688,Misri ,,https://en.wikipedia.org/wiki/Misri 
689,Wheat Khakhras ,Gehun, 
690,Methi Crispies ,, 
691,Roti ,,https://en.wikipedia.org/wiki/Roti 
692,Rice Semolina ,Idli Rawa, 
693,Tomato Chutney ,,https://en.wikipedia.org/wiki/Tomato chutney 
694,Coriander Garlic Chutney ,, 
695,Rolled Chocolate Wafer Biscuits ,, 
696,Canapés ,, 
697,Jalapeno ,,https://en.wikipedia.org/wiki/Jalapeno 
698,Wheat Pizza Bases ,Gehun, 
699,Soda Bi Carb ,, 
700,Cream Cracker Biscuit ,, 
701,Papadis ,, 
702,Dip ,,https://en.wikipedia.org/wiki/Dip 
703,Mustard Sauce ,Rai/ Sarson,https://en.wikipedia.org/wiki/Mustard sauce 
704,Phulkas ,,https://en.wikipedia.org/wiki/Phulkas 
705,Carrot Garlic Chutney ,, 
706,Sambhar Masala ,, 
707,Vegetable Idlis ,, 
708,Phudina Chutney ,, 
709,Corns ,Makai,https://en.wikipedia.org/wiki/Corns 
710,Monaco Biscuits ,, 
711,Wonton Wrapper ,, 
712,Cranberry ,,https://en.wikipedia.org/wiki/Cranberry 
713,Warm Water ,, 
714,Bagels ,,https://en.wikipedia.org/wiki/Bagels 
715,Honey Chilli Sauce ,, 
716,Onion Ginger Dip ,, 
717,Arborio Rice ,,https://en.wikipedia.org/wiki/Arborio rice 
718,Wafers ,,https://en.wikipedia.org/wiki/Wafers 
719,Pizza Base ,, 
720,Wheat Penne ,, 
721,Romaine Lettuce ,,https://en.wikipedia.org/wiki/Romaine lettuce 
722,Parmesan ,,https://en.wikipedia.org/wiki/Parmesan 
723,Crackers ,,https://en.wikipedia.org/wiki/Crackers 
724,Egg Yolks ,,https://en.wikipedia.org/wiki/Egg yolks 
725,Custard Sauce ,, 
726,Uncooked ,,https://en.wikipedia.org/wiki/Uncooked 
727,Fudge Sauce ,, 
728,Pineapple Jam ,, 
729,Bitter Gourd ,Karela,https://en.wikipedia.org/wiki/Bitter gourd 
730,Lotus Stem ,, 
731,Patra ,,https://en.wikipedia.org/wiki/Patra 
732,Curd Dip ,, 
733,Jeera Puri ,, 
734,Peanut ,,https://en.wikipedia.org/wiki/Peanut 
735,Wonton Wrappers ,, 
736,Barbeque Sauce ,,https://en.wikipedia.org/wiki/Barbeque sauce 
737,Cornflakes ,,https://en.wikipedia.org/wiki/Cornflakes 
738,Sprite ,,https://en.wikipedia.org/wiki/Sprite 
739,Chilli-Garlic ,, 
740,Wine Vinegar ,,https://en.wikipedia.org/wiki/Wine vinegar 
741,Vegetable Curry ,,https://en.wikipedia.org/wiki/Vegetable curry 
742,Sprig Dill Leaf ,, 
743,Custard Apple ,Sitaphal,https://en.wikipedia.org/wiki/Custard apple 
744,Dabeli Masala ,, 
745,Masala Peanuts ,, 
746,Nylon Sev ,, 
747,Homemade Dabeli Masala ,, 
748,Teekha Phudina Chutney ,, 
749,Meethi Soonth ,, 
750,Idli ,,https://en.wikipedia.org/wiki/Idli 
751,Moong ,,https://en.wikipedia.org/wiki/Moong 
752,Masala ,,https://en.wikipedia.org/wiki/Masala 
753,Onion Chutney ,,https://en.wikipedia.org/wiki/Onion chutney 
754,Spit Gram ,Chilkewali Urad Dal, 
755,Cashews ,,https://en.wikipedia.org/wiki/Cashews 
756,Chillies Lengthwise ,, 
757,Methia Keri ,, 
758,Rotlas ,, 
759,Salad ,,https://en.wikipedia.org/wiki/Salad 
760,Sesame Chutney ,Til, 
761,Achaar ,,https://en.wikipedia.org/wiki/Achaar 
762,Dessicated Coconut ,, 
763,Berries ,,https://en.wikipedia.org/wiki/Berries 
764,Kalhua Liqueur ,, 
765,Grater ,,https://en.wikipedia.org/wiki/Grater 
766,Toothpick ,,https://en.wikipedia.org/wiki/Toothpick 
767,Cookie Cutter ,,https://en.wikipedia.org/wiki/Cookie cutter 
768,Pizza ,,https://en.wikipedia.org/wiki/Pizza 
769,Browned Rice ,Chawal, 
770,Sprig Coriander ,, 
771,Chirongi Nuts ,Charoli, 
772,Mushrooms Quarters ,Khumbh, 
773,Ridge Gourd ,Turai,https://en.wikipedia.org/wiki/Ridge gourd 
774,Idli Batter ,, 
775,Milk Masala ,, 
776,Garlic Mayonnaise ,, 
777,Anjeer Barfi ,, 
778,Pointed Gourd ,Parwal,https://en.wikipedia.org/wiki/Pointed gourd 
779,Chilli-Ginger ,, 
780,Milagai Podi ,,https://en.wikipedia.org/wiki/Milagai podi 
781,Leftover Dosas ,, 
782,Potato Bhaji ,, 
783,Coconut Sauce ,, 
784,Nozzle ,,https://en.wikipedia.org/wiki/Nozzle 
785,Star Nozzle ,, 
786,Roll Wrappers ,, 
787,Peppers ,,https://en.wikipedia.org/wiki/Peppers 
788,Fruit ,,https://en.wikipedia.org/wiki/Fruit 
789,Kala Khatta ,,https://en.wikipedia.org/wiki/Kala khatta 
790,Kacchi Kairi ,, 
791,Gluten Free Pasta ,, 
792,Naan ,,https://en.wikipedia.org/wiki/Naan 
793,Demerara Sugar ,,https://en.wikipedia.org/wiki/Demerara sugar 
794,Tutti-Frutti ,,https://en.wikipedia.org/wiki/Tutti-frutti 
795,Gelatin ,,https://en.wikipedia.org/wiki/Gelatin 
796,Plum Compote ,, 
797,Wheat Pita Bread ,, 
798,Baby Onions ,, 
799,Chaas ,,https://en.wikipedia.org/wiki/Chaas 
800,Lemon Or Lime ,, 
801,Colouring ,,https://en.wikipedia.org/wiki/Colouring 
802,Cherry ,,https://en.wikipedia.org/wiki/Cherry 
803,Scooper ,,https://en.wikipedia.org/wiki/Scooper 
804,Papad Khar ,, 
805,Rotlis ,, 
806,Tabbouleh ,,https://en.wikipedia.org/wiki/Tabbouleh 
807,Pita Bread ,,https://en.wikipedia.org/wiki/Pita bread 
808,Tahini Dip ,, 
809,Falooda Sev ,, 
810,Sanwa Millet ,Sama, 
811,Sago ,Sabudana,https://en.wikipedia.org/wiki/Sago 
812,Peanut Curd Chutney ,, 
813,Faraali Chivda ,, 
814,Farali Chivda ,, 
815,Masala Salli ,, 
816,Sweetened Curds ,, 
817,Wheat Dog Rolls ,, 
818,Vinaigrette ,,https://en.wikipedia.org/wiki/Vinaigrette 
819,Champagne ,,https://en.wikipedia.org/wiki/Champagne 
820,Vodka ,,https://en.wikipedia.org/wiki/Vodka 
821,Blue Curacao ,,https://en.wikipedia.org/wiki/Blue curacao 
822,Curacao ,,https://en.wikipedia.org/wiki/Curacao 
823,Bread Toast Piece ,, 
824,Fig ,,https://en.wikipedia.org/wiki/Fig 
825,Seasonal Fruits ,, 
826,Alphonso Mangoes ,, 
827,Guava ,,https://en.wikipedia.org/wiki/Guava 
828,Raspberry Crystals ,, 
829,Prunes ,,https://en.wikipedia.org/wiki/Prunes 
830,Vanilla Custard ,, 
831,Can Peaches ,, 
832,Pani Puri Masala ,, 
833,Orange Tang ,, 
834,Banana Roundles ,, 
835,Chikoo ,,https://en.wikipedia.org/wiki/Chikoo 
836,Ice-Cream ,,https://en.wikipedia.org/wiki/Ice-cream 
837,Cream Wafer Biscuit ,, 
838,Strawberry Jam ,,https://en.wikipedia.org/wiki/Strawberry jam 
839,Brown Onion ,,https://en.wikipedia.org/wiki/Brown onion 
840,Ganthia ,, 
841,Tendli ,, 
842,Tomato Concasse ,, 
843,Gum ,Gaund,https://en.wikipedia.org/wiki/Gum 
844,Cluster Beans ,Gavarfali,https://en.wikipedia.org/wiki/Cluster beans 
845,Geela Lehsun Chutney ,, 
846,Methia No Masala ,, 
847,Arrowroot ,,https://en.wikipedia.org/wiki/Arrowroot 
848,Ginger-Ale Squash ,, 
849,Glace Cherry ,,https://en.wikipedia.org/wiki/Glace cherry 
850,Drink ,,https://en.wikipedia.org/wiki/Drink 
851,Kodri ,, 
852,Ginger Ale ,,https://en.wikipedia.org/wiki/Ginger ale 
853,Gluten-Free Pasta ,, 
854,Stone Flower ,Dagad Phool,https://en.wikipedia.org/wiki/Stone flower 
855,Fanta ,,https://en.wikipedia.org/wiki/Fanta 
856,Gongura ,Ambada,https://en.wikipedia.org/wiki/Gongura 
857,Coconut Ice-Cream ,, 
858,Indian Jujube ,Bor,https://en.wikipedia.org/wiki/Indian jujube 
859,Light Chillies ,, 
860,Cumin Seed ,,https://en.wikipedia.org/wiki/Cumin seed 
861,Mint Coriander Chutney ,, 
862,Pea ,,https://en.wikipedia.org/wiki/Pea 
863,Can Mushrooms ,Khumbh, 
864,Peas Purée ,, 
865,Spinach Pasta ,, 
866,Bhujia ,,https://en.wikipedia.org/wiki/Bhujia 
867,Nutella Spread ,, 
868,Smoked Barbeque Sauce ,, 
869,Pesto Sauce ,,https://en.wikipedia.org/wiki/Pesto sauce 
870,Ripened Avocado ,, 
871,Guavas ,,https://en.wikipedia.org/wiki/Guavas 
872,Raspberry Food ,, 
873,Rotli ,,https://en.wikipedia.org/wiki/Rotli 
874,Puran Poli ,,https://en.wikipedia.org/wiki/Puran poli 
875,Khichdi ,,https://en.wikipedia.org/wiki/Khichdi 
876,Kachori ,,https://en.wikipedia.org/wiki/Kachori 
877,Gulab Jamun Mava ,Hariyali Khoya, 
878,Gulab Jamuns ,, 
879,Gulkand ,,https://en.wikipedia.org/wiki/Gulkand 
880,Gundas ,, 
881,Soyabeans ,, 
882,Chilli Garlic Fries ,, 
883,Coconuts ,,https://en.wikipedia.org/wiki/Coconuts 
884,Cheese Herb Potato ,, 
885,Meethi Chutney ,, 
886,Haricot Beans ,,https://en.wikipedia.org/wiki/Haricot beans 
887,Nachni ,Ragi, 
888,Chapati ,,https://en.wikipedia.org/wiki/Chapati 
889,Snake Gourd ,Padwal,https://en.wikipedia.org/wiki/Snake gourd 
890,Brown Rice Flour ,, 
891,Firm Tofu ,, 
892,Ginger-Ale Ice ,, 
893,Brazilian Nuts ,,https://en.wikipedia.org/wiki/Brazilian nuts 
894,Cocoa Nibs ,, 
895,Puffed Cereals ,, 
896,Cacao Nibs ,,https://en.wikipedia.org/wiki/Cacao nibs 
897,Brown Rice Khichdi ,, 
898,Khakhra ,,https://en.wikipedia.org/wiki/Khakhra 
899,Homemade Peanut Butter ,, 
900,Methi Muthias ,, 
901,Soda-Bi-Carb ,, 
902,Jada Poha ,, 
903,Surti Papadi ,, 
904,Toovar ,,https://en.wikipedia.org/wiki/Toovar 
905,Wheat Laddi Pavs ,, 
906,Sukhi Lehsun Chutney ,, 
907,Herb Tortellini ,, 
908,Maggi Tastemaker ,, 
909,Toast ,,https://en.wikipedia.org/wiki/Toast 
910,PeeledDeseeded Tomatoes ,, 
911,Cheesy Bread ,,https://en.wikipedia.org/wiki/Cheesy bread 
912,Ow-Fat Curds ,Dahi, 
913,Organic Coconut Oil ,, 
914,Hazelnuts ,,https://en.wikipedia.org/wiki/Hazelnuts 
915,Hemp ,,https://en.wikipedia.org/wiki/Hemp 
916,Kulfi ,,https://en.wikipedia.org/wiki/Kulfi 
917,Horsegram ,Kulith,https://en.wikipedia.org/wiki/Horsegram 
918,Button Mushrooms ,Khumbh,https://en.wikipedia.org/wiki/Button mushrooms 
919,Carrot Thin ,, 
920,Grand Marnier ,, 
921,Bay ,Tejpatta,https://en.wikipedia.org/wiki/Bay 
922,Amaranth ,Rajgira,https://en.wikipedia.org/wiki/Amaranth 
923,Iceburg Lettuce ,,https://en.wikipedia.org/wiki/Iceburg lettuce 
924,Peanut Sauce ,,https://en.wikipedia.org/wiki/Peanut sauce 
925,Sago Wafers ,, 
926,Idli Rawa ,, 
927,Bhavnagari Chilli ,, 
928,Whisky ,,https://en.wikipedia.org/wiki/Whisky 
929,Vanilla Agar-Agar ,, 
930,Pine Nuts ,,https://en.wikipedia.org/wiki/Pine nuts 
931,Laadi Pavs ,, 
932,Jal Jeera ,,https://en.wikipedia.org/wiki/Jal jeera 
933,Fruit Jam ,, 
934,Jamuns ,, 
935,Crystals ,,https://en.wikipedia.org/wiki/Crystals 
936,CowS Milk ,, 
937,Coriander-Cumin Seed ,Dhania-Jeera, 
938,Jowar Puffs ,Dhani, 
939,Chana ,,https://en.wikipedia.org/wiki/Chana 
940,Isabgol ,,https://en.wikipedia.org/wiki/Isabgol 
941,Savoy Cabbage ,,https://en.wikipedia.org/wiki/Savoy cabbage 
943,Kadhai ,,https://en.wikipedia.org/wiki/Kadhai 
944,Ginger Garlic ,, 
945,Tomato Purée ,, 
946,Kaffir Lime ,,https://en.wikipedia.org/wiki/Kaffir lime 
947,Gulab Jamun Mawa ,Hariyali Khoya, 
948,Kolumbu ,, 
949,Kand ,,https://en.wikipedia.org/wiki/Kand 
950,Tutti Frutti ,,https://en.wikipedia.org/wiki/Tutti frutti 
951,Kashmiri Tea ,,https://en.wikipedia.org/wiki/Kashmiri tea 
952,Puranpoli ,, 
953,Ker ,,https://en.wikipedia.org/wiki/Ker 
954,Sangri ,Sanger,https://en.wikipedia.org/wiki/Sangri 
955,Sandalwood ,Chandan,https://en.wikipedia.org/wiki/Sandalwood 
956,Saffron Food ,, 
957,Khaman Dhokla ,,https://en.wikipedia.org/wiki/Khaman dhokla 
958,Gluten ,,https://en.wikipedia.org/wiki/Gluten 
959,Lily Puff Margarine ,, 
960,Dhokla ,,https://en.wikipedia.org/wiki/Dhokla 
961,Khatta Dhokla Flour ,, 
962,Sorrel ,Khatta Bhaji,https://en.wikipedia.org/wiki/Sorrel 
963,Khatti-Meethi Chutney ,, 
964,Valor Papdi ,, 
965,Leftover Khichdi ,, 
966,Khichiya Papad ,, 
967,Kit-Kat Chocolate ,, 
968,Kit-Kat Chocolates ,, 
969,Kit-Kat ,, 
970,Chocolate Walnut Brownie ,, 
971,Cream Wafer Biscuits ,, 
972,Kiwis ,,https://en.wikipedia.org/wiki/Kiwis 
973,Cheesecake ,,https://en.wikipedia.org/wiki/Cheesecake 
974,Glycerin ,,https://en.wikipedia.org/wiki/Glycerin 
975,Semi Kokum ,, 
976,Silver Foil ,,https://en.wikipedia.org/wiki/Silver foil 
977,Pink ,,https://en.wikipedia.org/wiki/Pink 
978,Cashewnuts Drained. ,, 
979,Malai Kulfi ,, 
980,Jalebis ,, 
981,Horse Gram ,Kulith,https://en.wikipedia.org/wiki/Horse gram 
982,Rounds Vegetables ,, 
983,Raita ,,https://en.wikipedia.org/wiki/Raita 
984,Lasagne ,,https://en.wikipedia.org/wiki/Lasagne 
985,Baileys Irish Cream ,, 
986,Amaretto ,,https://en.wikipedia.org/wiki/Amaretto 
987,Chocolate Cream Wafer Biscuit ,, 
988,Chocolate Cream Wafer Biscuits ,, 
989,Coconut Biscuits ,, 
990,Pineapple Tidbits ,, 
992,Pickled Jalapenos ,, 
993,Bean Spinach Rice ,, 
994,Falafel ,,https://en.wikipedia.org/wiki/Falafel 
995,Lemon Crystals ,, 
996,Cheese Cake ,,https://en.wikipedia.org/wiki/Cheese cake 
997,Lemon Zest ,,https://en.wikipedia.org/wiki/Lemon zest 
998,Couscous ,,https://en.wikipedia.org/wiki/Couscous 
999,Carrot Julienned ,, 
1000,Bottles Lemonade ,, 
1001,Emon Grass ,Hare Chai Ki Patti, 
1002,Eggs Yolks ,, 
1003,Lemon Tang ,, 
1004,Muskmelon Purée ,Kharbooja, 
1005,Plum Sauce ,,https://en.wikipedia.org/wiki/Plum sauce 
1006,Garlic Sauce ,,https://en.wikipedia.org/wiki/Garlic sauce 
1007,Onions The ,, 
1008,Surti Vaal ,, 
1009,Lychee ,,https://en.wikipedia.org/wiki/Lychee 
1010,Rasgulla Squares ,, 
1011,Rabdi Cream ,, 
1012,Butter Naan ,, 
1013,Angelica ,,https://en.wikipedia.org/wiki/Angelica 
1014,Moong Dal Vadi ,, 
1015,GingerGreen Chilli ,, 
1016,Garlic-Tomato Chutney ,, 
1017,Corncobs ,,https://en.wikipedia.org/wiki/Corncobs 
1018,Corncobs Mm ,, 
1019,Corn Kernel ,,https://en.wikipedia.org/wiki/Corn kernel 
1020,Spinach Rotis ,Palak, 
1021,Pahadi Marinade ,, 
1022,Piece Cinnamon ,, 
1023,Alum ,Phitkari,https://en.wikipedia.org/wiki/Alum 
1024,Flat Noodles ,, 
1025,Mango Purée ,, 
1026,Mango Ice-Cream ,, 
1027,Crystallized Ginger ,,https://en.wikipedia.org/wiki/Crystallized ginger 
1028,Mango Pureed ,, 
1029,Mango Cake ,, 
1030,Moong Dal Mangodi ,, 
1031,Tequila ,,https://en.wikipedia.org/wiki/Tequila 
1032,Cointreau ,,https://en.wikipedia.org/wiki/Cointreau 
1033,Table Salt ,,https://en.wikipedia.org/wiki/Table salt 
1034,Dal ,,https://en.wikipedia.org/wiki/Dal 
1035,Chai Masala ,,https://en.wikipedia.org/wiki/Chai masala 
