id,name,Wikipedia links,Hindi name,Image link
1,Asparagus,https://en.wikipedia.org/wiki/Asparagus,,https://en.wikipedia.org/wiki/Asparagus#/media/File:Asparagus-Bundle.jpg
2,Lemongrass,https://en.wikipedia.org/wiki/Lemongrass,,https://en.wikipedia.org/wiki/Cymbopogon#/media/File:YosriNov04Pokok_Serai.JPG
3,Roses,https://en.wikipedia.org/wiki/Roses,,https://en.wikipedia.org/wiki/Rose#/media/File:Roses_Boutons_FR_2012.jpg
5,Lavash,https://en.wikipedia.org/wiki/Lavash,,https://en.wikipedia.org/wiki/Lavash#/media/File:Pan_armenio_en_el_mercado_de_Yerevan.JPG
6,White Chick Peas,https://en.wikipedia.org/wiki/Chickpea,Kabuli Chana,https://en.wikipedia.org/wiki/Chickpea#/media/File:Sa-whitegreen-chickpea.jpg
7,Green Mango,https://en.wikipedia.org/wiki/Mangoes,aam,https://en.wikipedia.org/wiki/Mango#/media/File:Mangoes_pic.jpg
8,Turmeric Powder,https://en.wikipedia.org/wiki/Turmeric,Haldi,https://en.wikipedia.org/wiki/Turmeric#/media/File:Curcuma_longa_roots.jpg
9,Fenugreek Seeds,https://en.wikipedia.org/wiki/Fenugreek,Methi,https://en.wikipedia.org/wiki/Fenugreek#/media/File:Illustration_Trigonella_foenum-graecum0_clean.jpg
11,Fennel Seeds,https://en.wikipedia.org/wiki/Fennel,Saunf,https://en.wikipedia.org/wiki/Fennel#/media/File:Foeniculum_July_2011-1a.jpg
12,Asafoetida,https://en.wikipedia.org/wiki/Asafoetida,Hing,https://en.wikipedia.org/wiki/Asafoetida#/media/File:Asafoetida2.jpg
13,Nigella Seeds,https://en.wikipedia.org/wiki/Nigella,Kalonji,https://en.wikipedia.org/wiki/Nigella#/media/File:Nigella_damascena_seed_capsule1.jpg
14,Whole Dry Kashmiri Red Chillies,https://en.wikipedia.org/wiki/Red Chillies,,https://en.wikipedia.org/wiki/Chili_pepper#/media/File:Madame_Jeanette_and_other_chillies.jpg
15,Chilli Powder,,,
16,Mustard Oil,https://en.wikipedia.org/wiki/Mustard Oil,Rai / Sarson,https://en.wikipedia.org/wiki/Mustard_oil#/media/File:Mustard_Oil_%26_Seeds_-_Kolkata_2003-10-31_00537.JPG
17,Salt,https://en.wikipedia.org/wiki/Salt,namak,https://en.wikipedia.org/wiki/Salt#/media/File:Comparison_of_Table_Salt_with_Kitchen_Salt.png
