recipe_id,key,value,unit
40,Protein,2.9,g
40,Carbohydrates,48.2,g
40,Fiber,8.3,g
40,Fat,1.4,g
40,Cholesterol,0,mg
40,Sodium,68,mg
42,Energy,190,cal
42,Protein,3.7,g
42,Carbohydrates,2.6,g
42,Fiber,1.2,g
42,Fat,18.4,g
42,Cholesterol,0,mg
42,Sodium,251,mg
44,Energy,227,cal
44,Protein,5.5,g
44,Carbohydrates,25.5,g
44,Fiber,1,g
44,Fat,9.7,g
44,Cholesterol,12,mg
44,Sodium,31.6,mg
45,Energy,388,cal
45,Protein,8.6,g
45,Carbohydrates,18.1,g
45,Fiber,2.8,g
45,Fat,32.3,g
45,Cholesterol,0,mg
45,Sodium,4.2,mg
46,Energy,169,cal
46,Protein,3.5,g
46,Carbohydrates,3.2,g
46,Fiber,2,g
46,Fat,16.5,g
46,Cholesterol,0,mg
46,Sodium,0,mg
47,Energy,266,cal
47,Protein,5.2,g
47,Carbohydrates,8.1,g
47,Fiber,2.3,g
47,Fat,23.7,g
47,Cholesterol,0,mg
47,Vitamin A,157,mcg
47,Vitamin B1,0.1,mg
47,Vitamin B2,0.1,mg
47,Vitamin B3,0.8,mg
47,Vitamin C,9.3,mg
47,Folic Acid,8.3,mcg
47,Calcium,60.2,mg
47,Iron,1.3,mg
47,Magnesium,0,mg
47,Phosphorus,0,mg
47,Sodium,2.6,mg
47,Potassium,70,mg
47,Zinc,0.7,mg
48,Energy,127,cal
48,Protein,3.6,g
48,Carbohydrates,15.1,g
48,Fiber,0.6,g
48,Fat,6.2,g
48,Cholesterol,0,mg
48,Sodium,1.4,mg
49,Energy,78,cal
49,Protein,1.5,g
49,Carbohydrates,8.7,g
49,Fiber,0.1,g
49,Fat,4,g
49,Cholesterol,0,mg
49,Vitamin A,102.3,mcg
49,Vitamin B1,0,mg
49,Vitamin B2,0,mg
49,Vitamin B3,0.3,mg
49,Vitamin C,0,mg
49,Folic Acid,0.2,mcg
49,Calcium,12.8,mg
49,Iron,0.3,mg
49,Magnesium,0,mg
49,Phosphorus,0,mg
49,Sodium,26,mg
49,Potassium,13.4,mg
49,Zinc,0.1,mg
50,Energy,103,cal
50,Protein,2.1,g
50,Carbohydrates,10.4,g
50,Fiber,0.1,g
50,Fat,5.8,g
50,Cholesterol,7.9,mg
50,Sodium,26,mg
51,Energy,95,cal
51,Protein,3.1,g
51,Carbohydrates,2.3,g
51,Fiber,1.2,g
51,Fat,8.4,g
51,Cholesterol,0,mg
51,Sodium,251,mg
52,Energy,381,cal
52,Protein,5.3,g
52,Carbohydrates,17.2,g
52,Fiber,1.9,g
52,Fat,32.7,g
52,Cholesterol,65,mg
52,Sodium,292.6,mg
53,Energy,381,cal
53,Protein,5.3,g
53,Carbohydrates,17.2,g
53,Fiber,1.9,g
53,Fat,32.7,g
53,Cholesterol,65,mg
53,Sodium,292.6,mg
54,Energy,102,cal
54,Protein,4.4,g
54,Carbohydrates,2.9,g
54,Fiber,1.3,g
54,Fat,8.3,g
54,Cholesterol,0,mg
54,Sodium,1.3,mg
55,Energy,146,cal
55,Protein,4.2,g
55,Carbohydrates,6.2,g
55,Fiber,0.3,g
55,Fat,11.8,g
55,Cholesterol,0,mg
55,Sodium,0.2,mg
56,Energy,132,cal
56,Protein,2.8,g
56,Carbohydrates,15,g
56,Fiber,0.5,g
56,Fat,5.7,g
56,Cholesterol,0,mg
56,Vitamin A,226.7,mcg
56,Vitamin B1,0,mg
56,Vitamin B2,0.1,mg
56,Vitamin B3,0.2,mg
56,Vitamin C,10.1,mg
56,Folic Acid,3.6,mcg
56,Calcium,120.2,mg
56,Iron,0.5,mg
56,Magnesium,0,mg
56,Phosphorus,0,mg
56,Sodium,11.4,mg
56,Potassium,65.4,mg
56,Zinc,0.1,mg
57,Energy,131,cal
57,Protein,4.2,g
57,Carbohydrates,2.1,g
57,Fiber,0.3,g
57,Fat,11.8,g
57,Cholesterol,0,mg
